All Facilities,Location,Building Name,Builder Name,Location Advantages,Description,Property Data
"['Infinity Pool', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Sauna', 'Jacuzzi', 'Spa', 'Steam Room', 'Squash Court']","Mulund West, Mumbai",Sheth Montana,Ashwin Sheth Group,"{'Location_Near': 'Fortis Hospital Mulund', 'Time_taken': '1.4 Km'}","More about Sheth MontanaPicture yourself living in a unique world within this world. An epitome of urban indulgent lifestyle at a marquee address. At a location that is easily accessible to the important places in the city. In the spacious abodes that compliment the blissful and abundant greens outside. Where modern-day comforts blend seamlessly with pristine nature. Where you wake up to the melodies of chirping birds in different seasons and the resplendent Yogi Hill views. Where you indulge in myriad lifestyle amenities with every day a delight to cherish. Where you relish nature’s beauty as well as lead the modern lifestyle. Dwelling at the cusp of two worlds, enjoying nature’s beauty as well as leading the modern lifestyle. Now imagine living such a life, which is definitely unmissable. Welcome to Sheth Montana

Amphitheatre; Park Walks  Banquet Hall; Refreshment Bar;  Business Centre; Toddlers' Creative Studio;  Lawn Pavilions;  Auditorium; Socializing Pavilions; Children’s Zone;  Party Lawn; Sunken Seats;
Private Library; Entertainment Room; TV Lounge; Table Tennis; Badminton; Basketball Court; Games Room;  Golf Simulator; Bowling Alley;  Jogging Track & Cycling Track; Squash;  Billiards; Kids’ Pool;  Kids' Play Area; Senior Citizens’ Area;  Cricket Nets; Tennis Court; Infinity Pool; Steam and Sauna;  Spa; Swimming Pool Fitness Centre; Yoga Room; JacuzzimoreProject DetailsAbout ProjectOverviewI'm interested in this project","{'Rating': ['Lifestyle4.3 out of 5', 'Environment4.1 out of 5', 'Safety4.3 out of 5', 'Connectivity4.5 out of 5'], 'BHK Types': [None, '2 BHK', '3 BHK', '4 BHK', '5 BHK'], 'Property Types': [None, 'Apartment', 'Apartment', 'Apartment', 'Apartment'], 'Area Ranges (sq.ft.)': [None, '594 - 902 sq.ft.', '902 - 1213 sq.ft.', '1338 - 1952 sq.ft.', '2056 sq.ft.'], 'Price Ranges (Cr)': [None, '₹ 1.47 - 2.56 Cr', '₹ 2.56 - 5.3 Cr', '₹ 3.91 - 7.73 Cr', 'Price on Request'], 'Additional Charges': [None, 'Govt. Charges', 'Govt. Charges', 'Govt. Charges', None], 'Construction Status': ['Under Construction'], 'Completion Date': ['Completion from Dec, 2023 onwards']}"
"['Swimming Pool', 'High Speed Elevators', 'Property Staff', 'Fountain', 'Sun Deck', 'Lawn Tennis Court', 'Multipurpose Court', 'Toddler Pool', 'Community Hall']","Majiwada, Thane",Sheth Vasant Lawns,Ashwin Sheth Group,"{'Location_Near': 'R Galleria', 'Time_taken': '2.1 Km'}","More about Sheth Vasant LawnsVasant Lawns is a timeless creation, designed for the citizens of tomorrow. Awarded as Thane’s Best Residential Development, Vasant Lawns is packed with best-in-class amenities and nature’s pure bliss. It has the privilege of Thane’s Platinum Belt that brings you closer to the finest shopping brands, restaurants, education institutes and entertainment choices and further connected to important landmarks. It’s your last chance to be a part of this finest residences in Thane’s Platinum Belt.moreProject DetailsAbout ProjectSpecificationsOverviewTowers9Floors31Total Project Area7 acres (28.33K sq.m.)Open Area40 %LIVING ROOM / PASSAGE / DINING / BED ROOMS
Flooring: Vitrified tiles
Doors: 8'0"" high decorative main door and 8'0"" high flush with water cut paint finish in bed rooms
Hardware: Premium quality
Wall Finishes: Gypsum / POP plaster with luster paint in living, dining, passage and acrylic distemper paint in all bed rooms
Aluminium windows: PVDF coated aluminium windows with tinted glass
Master bed flooring: Melamine polished wood panel flooring (Pergo)
Light fittings: Premium quality
External finish: Textured paint

TOILETS
Flooring: Vitrified tiles
Dado: Vitrified tiles / ceramic tiles
Counter: Granite counter
C. P. Fittings: Premium quality fitting
Sanitary Ware: Premium quality fitting
Doors: 8'0"" high waterproof flush door with water cut paint finish
Ceiling: Gypsum / POP plaster with luster paint finish

KITCHEN
Flooring: Dark grey vitrified tiles
Platform: Granite or korean / nirali sink / equivalent brand
Dado (Full Height): Granite or korean / nirali sink / equivalent brand

WINDOWS
PVDF coated aluminium windows with tinted glass with M. S. grill from inside

SECURITY SYSTEM
Magnetic door alarm, panic alarm, keyboard led (display)

ELECTRICAL
As per layout with generator facilities for common areasI'm interested in this project","{'Towers': None, 'Floors': None, 'Units': None, 'Total Project Area': None, 'Open Area': None}"
"['Infinity Pool', 'Swimming Pool', 'Reading Lounge', 'ATM', 'Card Room', 'High Speed Elevators', 'Waiting Lounge', 'Sauna', 'Jacuzzi']","Laxmi Nagar, Thane",Sheth Zuri,Ashwin Sheth Group,"{'Location_Near': 'NES International School Mumbai', 'Time_taken': '2.6 Km'}","More about Sheth ZuriSheth Zuri by Ashwin Sheth Group is one of the well-known under-construction projects in Laxmi Nagar, offering low budget apartments. The project was launched in Sep, 2016 as one of the most affordable addresses in Thane. Sheth Zuri Laxmi Nagar is scheduled for possession in Dec, 2024. With almost all basic amenities in place, Sheth Zuri brings highly affordable yet beautiful. There are 1BHK, 2BHK and 3BHK Apartments for sale, coming up in this project..Sheth Zuri Thane is a RERA-registered project with registration number P51700007274. Sheth Zuri Laxmi Nagar has 6 towers, with 33 floors each and 692 units to offer. Spread over an area of 3.75 acres, Sheth Zuri is one of the spacious projects in the Thane region.The internal and external development of Sheth Zuri is currently in progress and will be ready in due time. The construction at Sheth Zuri is in full swing and most of the units are already sold. Sheth Zuri Price ListAs per Sheth Zuri Price List, a 1BHK Apartment is available at a starting price of Rs. 98 L  while a 2BHK Apartment is offered at Rs. 1.09 Cr onwards.  For a 3BHK Apartment at Sheth Zuri, you will need to spend at least Rs. 1.71 Cr.ConfigurationSizePrice 1BHK Apartment401 sq.ft.Rs. 98 L2BHK Apartment483 sq.ft.Rs. 1.09 Cr3BHK Apartment786 sq.ft.Rs. 1.71 CrThose who are looking for investment opportunities may find this project worthy from a long-term perspective.How is Laxmi Nagar for property investment?Laxmi Nagar is one of the attractive locations to own a home in Thane. It has a promising social and physical infrastructure and evolving neighbourhood. Laxmi Nagar has good connectivity to some of the important areas in the proximity such as topLandMarksLabel.How is the future of Thane property market?Thane real estate market has a range of property options in various price brackets. Laxmi Nagar in Thane is one of the localities known for housing affordable residential projects which makes it a suitable destinations for homebuyers looking for a property for self-use or investment purposes in the city. One thing that makes Thane different from any other city in this region is its potential to attract investors through its flourishing job market and employment opportunities, bringing in fresh housing demand regularly. In addition to this, with metro connectivity improving and other infrastructure projects coming up in Thane, these growth drivers are expected to influence the property prices here extensively.moreProject DetailsAbout ProjectSpecificationsOverviewTowers6Floors33Units692Total Project Area3.75 acres (15.18K sq.m.)Open Area60 %LIVING AND DINING ROOM
Vitrified flooring
Extensive electrical layout
Windows with granite sill
Cable point
Telephone point
AC points as per welllaid routing provisions intercom facility

STUDY ROOM
Vitrified flooring
Extensive electrical layout
Windows with granite or marble sill
Cable point
Telephone point
AC points as per welllaid routing provisions

BEDROOM
Vitrified flooring
Extensive electrical layout
Windows with granite sill
Cable point
Telephone point
AC points as per welllaid routing provisions

DOORS
Decorative firerated main door
Laminated doors for bedrooms and toilets

KITCHEN
Vitrified flooring
Granite platform with stainless steel sink auxiliary platform
Gas leak detector and provision for piped gas connection
Extensive electrical layout with points for water purifier, refrigerator, exhaust and mixergrinder

BATHROOMS
Vitrified antiskid flooring
Glazed dado tiles
High quality sanitary ware and CP fittings
Extensive electrical layout with point for exhaust and geyser

WINDOWS
Heavy aluminium powdercoated sections with granite sill

INTERNAL WALL FINISH
Gypsum plaster
Lustre paint in living, dining room and passage

ELECTRIFICATION
Extensive layout in concealed copper wiring
Modular switches in flats
Provisions for lights fans and TV points with adequate extra points

PLUMBING
Concealed plumbing with highquality fixturesI'm interested in this project","{'Rating': ['Lifestyle4.3 out of 5', 'Environment4 out of 5', 'Safety4.2 out of 5', 'Connectivity4.2 out of 5'], 'BHK Types': [None, '2 BHK', '3 BHK', None, None], 'Property Types': [None, 'Apartment', 'Apartment', None, None], 'Area Ranges (sq.ft.)': [None, '754 - 759 sq.ft.', '1013 - 1068 sq.ft.', None, None], 'Price Ranges (Cr)': [None, '₹ 1.8 - 1.81 Cr', '₹ 2.55 - 2.79 Cr', None, None], 'Additional Charges': [None, 'Govt. Charges', 'Govt. Charges', None, None], 'Construction Status': ['Under Construction'], 'Completion Date': ['Completion in Dec, 2023']}"
"['Infinity Pool', 'Creche/Day care', 'Library', 'Cricket Pitch', 'Sun Deck', 'Multipurpose Court', 'Amphitheatre', 'Toddler Pool', 'Party Lawn']","Kanjurmarg west, Mumbai",Sheth Avante,Ashwin Sheth Group,"{'Location_Near': 'Opal Square IT park', 'Time_taken': '3.8 Km'}","More about Sheth AvanteArtistically crafted and articulately designed is a home that offers spaciousness and lavishness amidst the busy Mumbai city. Strategically located between everything important along with the indulgences you can’t miss, this abode brings an untampered lifestyle filled with richness, space, and everything in between. Let's embrace the largest home sculptured for your every happy moment. Welcome home to Sheth Avantè.

Themed Garden; Senior Citizen’s Zone; Cricket Pitch; Multipurpose Court; Jungle Gym; Kid’s Play Area; Gymnasium; Amphitheatre; Infinity Swimming Pool; Games Room; Creche; Multipurpose Hall; Party Lawn; Pool Deck; Kids’ Pool; Co-working Space; Library; Sand Pit; Veteran’s Avenue; Jogging Track; Manicured Lawn; Activity Area; Little Angel’s Nook; Rooftop Yoga Deck; Party Deck; Stargazing Pedestal; Landscaped GardenmoreProject DetailsAbout ProjectSpecificationsOverviewTowers3Floors25Units385Total Project Area1.8 acres (7.28K sq.m.)Open Area70 %LIVING AND DINING ROOM
Vitrified flooring, extensive electrical layout, windows with granite or marble sill, AC points as per welllaid routing provisions, intercom facility

BEDROOM AND STUDY ROOM
Vitrified flooring, extensive electrical layout, windows with granite or marble sill, AC points as per welllaid routing provisions

KITCHEN
Vitrified flooring, granite platform with stainless steel sink, auxiliary platform, gas leak detector, extensive electrical layout with points for water purifier, refrigerator, exhaust and mixergrinder

BATHROOM
Ceramic Tile (matt/antiskid) flooring
Ceramic Tile (glazed/matt) dado, high quality sanitary ware and CP fittings, electrical layout with point for exhaust and geyser, water heater in master toilet

DOORS
Decorative firerated main door, laminated doors for bedrooms and toilets, with high quality door locks

WINDOWS
Aluminum powdercoated sections with tinted glass

WALL FINISH
Gypsum plaster, lustre paint in living/dining room and passage

ELECTRIFICATION 
Extensive layout in concealed copper wiring, modular switches in flats, adequate provisions for lights, fans  and  TV points and telephone points

PLUMBING
Concealed copper plumbing with high quality CP and sanitary fixturesI'm interested in this project","{'Towers': '9', 'Floors': '31', 'Units': None, 'Total Project Area': '7 acres (28.33K sq.m.)', 'Open Area': '40 %'}"
"['Bowling Alley', 'Automated Car Wash', 'Swimming Pool', 'Business Lounge', 'Medical Centre', 'Cigar Lounge', 'Reading Lounge', 'Golf Course', 'Changing Area']","Prabhadevi, Mumbai South",Rustomjee Crown,Rustomjee Builders,"{'Location_Near': 'Mumbai - Agra National Highway', 'Time_taken': '4.5 Km'}","More about Rustomjee CrownRustomjee Crown in Prabhadevi, South Mumbai is a ready-to-move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 3BHK, 4BHK, 5BHK and 6BHK Apartments available in this project. This housing society is now ready to be called home as families have started moving in. Check out some of the features of Rustomjee Crown housing society:*Rustomjee Crown Prabhadevi has 3 towers, with 68 floors each and 708 units on offer.*Spread over an area of 5.75 acres, Rustomjee Crown is one of the spacious housing societies in the South Mumbai region. With all the basic amenities available, Rustomjee Crown fits into your budget and your lifestyle.*Prabhadevi has good connectivity to some of the important areas in the proximity such as Prabhadevi, IKEA Worli City Store and Punamiya Hospital and so on.Rustomjee Crown Price ListIf you are looking for ready to move projects, Rustomjee Crown is a right choice for you. Here,  a 3BHK Apartment is available at a starting price of Rs. 7.88 Cr  while a 4BHK Apartment is offered at Rs. 9.35 Cr onwards.  For a 5BHK Apartment at Rustomjee Crown, you will need to spend at least Rs. 14.81 Cr Those who are looking for investment opportunities in Rustomjee Crown may find it worthy from a long-term perspective to earn rental income. ConfigurationSizePrice 3BHK Apartment1,335 sq.ft.Rs. 7.88 Cr4BHK Apartment1,580 sq.ft.Rs. 9.35 Cr5BHK Apartment2,475 sq.ft.Rs. 14.81 Cr6BHK Apartment6,068 sq.ft.Rs. 55 CrHow is Prabhadevi for property investment?Prabhadevi is one of the attractive locations to own a home in South Mumbai. It has a promising social and physical infrastructure and an emerging neighbourhood. Check out few benefits of staying in this locality:SMAAASH, 1.8 KmSiddhivinayak Healthcare, 0.6 KmShri Siddhi Vinayak Ganapati Mandir, 1.8 KmTata Memorial Hospital, 1.5 KmMuktangan School, 0.6 KmLord of the Drinks Lower Parel, 0.75 KmGlobal Hospitals, 2 KmHP Petrol Pump, 2.2 KmMaharshi Dayanand College, 2.3 KmLalbaug Market, 3.1 KmPhoenix Palladium, 3.2 KmNehru Planetarium, 4.2 KmHow is the future of South Mumbai property market?South Mumbai real estate market has a range of property options in various price brackets. Prabhadevi in South Mumbai is one of the localities known for some of the best housing societies which makes it a suitable destinations for homebuyers looking for a property for self-use or investment purposes in the city. One thing that makes South Mumbai different from any other city in this region is its potential to attract investors through its flourishing job market and employment opportunities, bringing in fresh housing demand regularly. In addition to this, with metro connectivity improving and other infrastructure projects coming up in South Mumbai, these growth drivers are expected to influence the property prices here extensively.moreProject DetailsAbout ProjectSpecificationsOverviewTowers3Floors68Units708Total Project Area5.75 acres (23.27K sq.m.)Open Area25 %PARKING
Multi level well planned stilt and podium parking
 
MODULAR KITCHEN
Intelligent home automation systems
Premium ready to use modular kitchen
Top of the line imported kitchen
 
SECURITY SYSTEM
Panic alarm
Panic alarm in master bedroom and living room
Gas and smoke detector systems
Video door phones
CCTV with intercom

WOODWORK
Weather resistant engineered wood/stone in deck
Double height wood floored sundecks
Thick moulded wooden door frames and veneer finish doors

FLOORING
Italian agglomerated marble in living room
Carbonate vitrified flooring in kitchen and bedroom and stainfree imported flooring in kitchen
Italian marble/wooden flooring in the bedroom
Wooden flooring in decks, 14 ft floor to ceiling height
Anti skid tiles with nano polish in bathrooms

ELECTRICAL
Motion sensor lighting in toilets and passage
Cable TV and Telephone connection
Ample AC and modular switch points in all the rooms
Concealed copper wiring with extensive layout

WALLS
Gypsum finished walls with quality paint in all rooms
Weather resistant paint on external walls

FITTINGS
Imported sliding folding window with 100% vision
Bathrooms/toilets with concealed plumbing,  Jaguar / equivalent fittings
Plumbing with premium CP fittings
Plumbing with standard fittings and fixturesI'm interested in this project","{'Rating': ['Lifestyle3.9 out of 5', 'Environment3.8 out of 5', 'Safety3.9 out of 5', 'Connectivity3.9 out of 5'], 'BHK Types': ['1 BHK', '2 BHK', '3 BHK', None, None], 'Property Types': ['Apartment', 'Apartment', 'Apartment', None, None], 'Area Ranges (sq.ft.)': ['401 - 515 sq.ft.', '483.62 - 654 sq.ft.', '763 - 787 sq.ft.', None, None], 'Price Ranges (Cr)': ['₹ 98 L - 1.28 Cr', '₹ 1.09 - 1.46 Cr', '₹ 1.71 - 1.92 Cr', None, None], 'Additional Charges': ['Govt. Charges', 'Govt. Charges', 'Govt. Charges', None, None], 'Construction Status': ['Under Construction'], 'Completion Date': ['Completion in Dec, 2024']}"
"['Swimming Pool', 'Football', 'Aerobics Centre', 'Squash Court', 'Billiards', 'Fountain', 'Sun Deck', 'Multipurpose Court', 'Earthquake Resistant']","New Panvel, Navi Mumbai",Marathon Nexzone,Marathon Group,"{'Location_Near': 'Mulund Railway Station', 'Time_taken': '4.7 Km'}","More about Marathon NexzoneMarathon Nexzone in New Panvel, Mumbai Navi by Marathon Group is a residential project.

The project offers Apartments and Studio Apartments with perfect combination of contemporary architecture and features to provide comfortable living.

The Apartment are of the following configurations: 1BHK,2BHK and 3BHK.
The starting price is ₹51.9L (all incl*)

This is a RERA registered project.

The project is spread over a total area of 26.42 acres of land. It has 60% of open space. Marathon Nexzone has a total of 22 towers. The construction is of 32 floors. 

Offering 32 amenities for better living experience including massage room.

1 BHK
Starting 51.9 Lacs (all incl*)
(Carpet area: 420 – 459 sq ft)
2 BHK
74 Lacs – 88.6 Lacs (all incl*)
(Carpet area: 581 – 745 sq ft)
2.5 BHK
1.08 Cr – 1.14 Cr (all incl*)
(Carpet area: 903 – 913 sq ft)
3 BHK Deluxe
Price on request
(Carpet area: ~922 sq ft)moreProject DetailsAbout ProjectSpecificationsOverviewTowers17Floors33Units2600Total Project Area25 acres (101.17K sq.m.)Open Area60 %FLOORING
2 feet x 2 feet vitrified flooring tiles in all the rooms

KITCHEN
Granite kitchen platform with stainless steel sink
Ceramic tiles dado above kitchen platform up to beam level
Provision for water purifier and fridge point

BATH AND WC
Concealed plumbing with good quality sanitary fittings
PVC plumbing fittings
Digital tiles up to beam level
AntiSkid tiles flooring in bath and WC
Good quality aluminium lovers in bath and WC
Provision for geyser point

ELECTRICAL
Concealed copper wiring with reputed brand
Modular switches
Telephone and TV (cable) points in living and bedrooms

WALL FINISH
Internal walls with POP finish and acrylic paint
External walls coated with acrylic paint

WINDOWS
Anodized aluminium sliding windows with reflective glass

DOOR
Main door with teak wood and internal door with decorative laminate finish
Granite frame for all the doors of bath and WC
Wooden door frames for all rooms
Water proof doors for bath and WC

WATER TANK
Underground and overhead tank with adequate storage capacityI'm interested in this project","{'Towers': '6', 'Floors': '33', 'Units': '692', 'Total Project Area': '3.75 acres (15.18K sq.m.)', 'Open Area': '60 %'}"
"['Swimming Pool', 'ATM', 'Terrace Garden', 'Creche/Day care', 'Squash Court', 'Cafeteria', 'Banquet Hall', 'Library', 'Cricket Pitch']","Balkum, Thane",Piramal Vaikunth,Piramal Realty,"{'Location_Near': 'Hotel Dhiraj Residency', 'Time_taken': '4.9 Km'}","More about Piramal VaikunthFounded in 2012, Piramal Realty is the real estate development arm of Piramal Group with over 17 million sq.ft. of land under development. Piramal Realty aspires to be one of india's most admired real estate brands, by setting the highest standards for architectural design, customer centricity, quality and safety.

Sprawling across a vast expanse of ~32 acres, Piramal Vaikunth is a community development comprising of lush green spaces complemented with ultra-modern amenities. Based on the concept of Biophilia, Piramal Vaikunth offers open spaces that connect you with nature which ensures a well-balanced lifestyle. Experience the magnificent landmark of luxury, in Balkum, Thane - the epicenter of seamless connectivity with an upcoming metro line, upgraded lifestyle & commercial centers..

8 Reasons to Invest in Thane:

As Per Forbes, Thane Is One Of The 20 'Hotspot Neighborhoods' In The World

Proposed Multiple Metro Stations Stops Connecting The Existing & New Metro Line

Proposed Bullet Train Station In The Mumbai - Ahmedabad Line

Proposed Inland Waterways Project Connecting Thane,Kalyan And Vasai

Rising Trend In Rental Income Return

Proposed Tunnel Connecting Thane To Borivali

Upcoming Corporate Parks In Thane To Generate Job Opportunities

Excellent Connectivity To The Eastern And Western Suburbs

Upcoming Corporate Parks In Thane To Generate Job Opportunities

Excellent Connectivity To The Eastern And Western SuburbsmoreProject DetailsAbout ProjectSpecificationsOverviewTowers15Floors41Total Project Area32 acres (129.5K sq.m.)Open Area40 %Air conditioned apartments

3 to 11 apartments per floor

2.9-3.2 Meters floor-to-floor height

Premium finishes and specifications

Dual windows in select apartment

Thoughtfully designed storage spaces

Quality bathroom fittingsI'm interested in this project","{'Rating': ['Lifestyle4.2 out of 5', 'Environment4 out of 5', 'Safety4.2 out of 5', 'Connectivity4.3 out of 5'], 'BHK Types': ['1 BHK', '2 BHK', '3 BHK', None, None], 'Property Types': ['Apartment', 'Apartment', 'Apartment', None, None], 'Area Ranges (sq.ft.)': ['439 - 555 sq.ft.', '555 - 740 sq.ft.', '891 sq.ft.', None, None], 'Price Ranges (Cr)': ['₹ 1.12 - 1.42 Cr', '₹ 1.33 - 2.4 Cr', '₹ 2.3 - 2.35 Cr', None, None], 'Additional Charges': ['Govt. Charges', 'Govt. Charges', 'Govt. Charges', None, None], 'Construction Status': ['Under Construction'], 'Completion Date': ['Completion in Dec, 2024']}"
"['Banquet Hall', 'Toddler Pool', 'Table Tennis', 'Basketball Court', 'Badminton Court', 'Yoga/Meditation Area', 'Indoor Games', 'Sewage Treatment Plant', 'Jogging Track']","Naya Nagar, Mumbai",Asmita Grand Maison,Asmita India  Limited,"{'Location_Near': 'Indian Institute of Technology Bombay', 'Time_taken': '7.4 Km'}","More about Asmita Grand MaisonAsmita Grand Maison by Asmita India is one of the well-known under-construction projects in Naya Nagar, offering low budget apartments.  Asmita Grand Maison Naya Nagar is scheduled for possession in Dec, 2026. With almost all basic amenities in place, Asmita Grand Maison brings highly affordable yet beautiful There are 1BHK and 2BHK apartments for sale, coming up in this project. in Mira Road And Beyond.Asmita Grand Maison Mira Road And Beyond is a RERA-registered project with registration number P51700033489. Asmita Grand Maison Naya Nagar has 2 towers, with 33 floors each and 420 units to offer. Spread over an area of 1.37 acres, Asmita Grand Maison is one of the spacious projects in the Mira Road And Beyond region.The internal and external development of Asmita Grand Maison is currently in progress and will be ready in due time. The construction at Asmita Grand Maison is in full swing and most of the units are already sold. Asmita Grand Maison Price ListAs per Asmita Grand Maison Price List, a 1BHK Apartment is available at a starting price of Rs. 70.49 L  while a 2BHK Apartment is offered at Rs. 1.05 Cr onwards. ConfigurationSizePrice 1BHK Apartment487 sq.ft.Rs. 70.49 L2BHK Apartment702 sq.ft.Rs. 1.05 CrThose who are looking for investment opportunities may find this project worthy from a long-term perspective.How is Naya Nagar for property investment?Naya Nagar is one of the attractive locations to own a home in Mira Road And Beyond. It has a promising social and physical infrastructure and evolving neighbourhood. Naya Nagar has good connectivity to some of the important areas in the proximity such as  Thakur Stadium MCGM Ground,   Wockhardt Hospital,   and Rassaz ICSE And Intl School Mira Rd.  How is the future of Mira Road And Beyond property market?Mira Road And Beyond real estate market has a range of property options in various price brackets. Naya Nagar in Mira Road And Beyond is one of the localities known for housing affordable residential projects which makes it a suitable destinations for homebuyers looking for a property for self-use or investment purposes in the city. One thing that makes Mira Road And Beyond different from any other city in this region is its potential to attract investors through its flourishing job market and employment opportunities, bringing in fresh housing demand regularly. In addition to this, with metro connectivity improving and other infrastructure projects coming up in Mira Road And Beyond, these growth drivers are expected to influence the property prices here extensively.moreProject DetailsAbout ProjectSpecificationsOverviewTowers2Floors33Units420Total Project Area1.37 acres (5.54K sq.m.)RCC framed strategically constructed structure keeping in mind the best of architecture and specifications both from inside as well as outside.I'm interested in this project","{'Towers': '3', 'Floors': '25', 'Units': '385', 'Total Project Area': '1.8 acres (7.28K sq.m.)', 'Open Area': '70 %'}"
"['School', 'Wi-Fi Connectivity', 'Indoor Games', 'Sewage Treatment Plant', 'Rain Water Harvesting', '24/7 Power Backup', 'Gated Community', 'Gymnasium', '24/7 Water Supply']","Bhandup West, Mumbai",Marathon Neovalley,Marathon Group,"{'Location_Near': 'Golden Swan Country Club', 'Time_taken': '10.4 Km'}","More about Marathon NeovalleyMarathon Neovalley by Marathon Realty is one of the well-known under-construction projects in Bhandup West, offering low budget apartments.  Marathon Neovalley Bhandup West is scheduled for possession in Dec, 2024. With almost all basic amenities in place, Marathon Neovalley brings highly affordable yet beautiful There are 1BHK and 2BHK apartments for sale, coming up in this project. in Central Mumbai suburbs.Marathon Neovalley Central Mumbai suburbs is a RERA-registered project with registration number P51800026955. Marathon Neovalley Bhandup West has single tower, with 22 floors each and 269 units to offer. Spread over an area of 0.08 acres, Marathon Neovalley is one of the spacious projects in the Central Mumbai suburbs region.The internal and external development of Marathon Neovalley is currently in progress and will be ready in due time. The construction at Marathon Neovalley is in full swing and most of the units are already sold. Marathon Neovalley Price ListAs per Marathon Neovalley Price List, a 1BHK Apartment is available at a starting price of Rs. 47.99 L  while a 2BHK Apartment is offered at Rs. 90.99 L onwards. ConfigurationSizePrice 1BHK Apartment247 sq.ft.Rs. 47.99 L2BHK Apartment481 sq.ft.Rs. 90.99 LThose who are looking for investment opportunities may find this project worthy from a long-term perspective.How is Bhandup West for property investment?Bhandup West is one of the prime locations to own a home in Central Mumbai suburbs. It has a promising social and physical infrastructure and evolving neighbourhood. Bhandup West has good connectivity to some of the important areas in the proximity such as  Vihar lake sceneries,   Bank of Baroda,   and Sai Sparsh Hospital.  How is the future of Central Mumbai suburbs property market?Central Mumbai suburbs real estate market has a range of property options in various price brackets. Bhandup West in Central Mumbai suburbs is one of the localities known for housing affordable residential projects which makes it a suitable destinations for homebuyers looking for a property for self-use or investment purposes in the city. One thing that makes Central Mumbai suburbs different from any other city in this region is its potential to attract investors through its flourishing job market and employment opportunities, bringing in fresh housing demand regularly. In addition to this, with metro connectivity improving and other infrastructure projects coming up in Central Mumbai suburbs, these growth drivers are expected to influence the property prices here extensively.moreProject DetailsAbout ProjectOverviewI'm interested in this project","{'Rating': None, 'BHK Types': [None, None, '3 BHK', '4 BHK', '5 BHK'], 'Property Types': [None, None, 'Apartment', 'Apartment', 'Apartment'], 'Area Ranges (sq.ft.)': [None, None, '1335 - 1483 sq.ft.', '1580.8 - 3072 sq.ft.', '2475 - 3088 sq.ft.'], 'Price Ranges (Cr)': [None, None, '₹ 7.88 - 10.59 Cr', '₹ 9.35 - 34.86 Cr', '₹ 14.81 - 43.44 Cr'], 'Additional Charges': [None, None, 'Govt. Charges', 'Govt. Charges', 'Govt. Charges'], 'Construction Status': ['Partially Ready To Move'], 'Completion Date': ['Completion in Dec, 2024']}"
"['Swimming Pool', 'Lounge', 'Reading Lounge', 'Changing Area', 'Barbecue', 'Spa', 'Squash Court', 'Cafeteria', 'Billiards']","Byculla East, Mumbai",Piramal Aranya,Piramal Realty,"{'Location_Near': 'Tikuji-ni-Wadi', 'Time_taken': '10.9 Km'}","More about Piramal AranyaPiramal Aranya, is a high rise gated sanctuary that offers luxuriant 2, 3 & 4 BHK homes inclusive of advanced wellness technologies, 360-degree views and a world-class lifestyle crafted alongside the world’s leading partners at Rani Baug, Byculla, South Mumbai.

Location
Aranya comes with excellent connectivity, good frontage and visibility along major access roads. It connects to world-class medical facilities, prominent business districts, reputed educational institutions, shopping and entertainment hubs within a few kilometres. Even for transportation, the railway station, airports, eastern freeway and the Bhaucha Dhakka dock are a few minutes away.moreProject DetailsAbout ProjectSpecificationsOverviewTowers3Floors72Units1157Total Project Area7.63 acres (30.88K sq.m.)Open Area70 %Disclaimer - There are Multiple Towers with Different No. of Floors. The  above mentioned no. is the tower with Maximum Floors (72)I'm interested in this project","{'Towers': '3', 'Floors': '68', 'Units': '708', 'Total Project Area': '5.75 acres (23.27K sq.m.)', 'Open Area': '25 %'}"
