price,area,Purchased
13300000,7420,0
12250000,8960,0
12250000,9960,0
12215000,7500,0
11410000,7420,1
10850000,7500,1
10150000,8580,0
10150000,16200,0
9870000,8100,1
9800000,5750,1
9800000,13200,1
9681000,6000,0
9310000,6550,0
9240000,3500,0
9240000,7800,0
9100000,6000,1
9100000,6600,0
8960000,8500,0
8890000,4600,0
8855000,6420,1
8750000,4320,1
8680000,7155,0
8645000,8050,0
8645000,4560,0
8575000,8800,0
8540000,6540,0
8463000,6000,0
8400000,8875,1
8400000,7950,1
8400000,5500,0
8400000,7475,0
8400000,7000,1
8295000,4880,1
8190000,5960,0
8120000,6840,0
8080940,7000,0
8043000,7482,0
7980000,9000,1
7962500,6000,0
7910000,6000,0
7875000,6550,1
7840000,6360,1
7700000,6480,0
7700000,6000,0
7560000,6000,0
7560000,6000,1
7525000,6000,0
7490000,6600,0
7455000,4300,1
7420000,7440,0
7420000,7440,0
7420000,6325,0
7350000,6000,0
7350000,5150,0
7350000,6000,0
7350000,6000,0
7343000,11440,0
7245000,9000,1
7210000,7680,0
7210000,6000,1
7140000,6000,0
7070000,8880,0
7070000,6240,0
7035000,6360,0
7000000,11175,1
6930000,8880,0
6930000,13200,0
6895000,7700,0
6860000,6000,1
6790000,12090,0
6790000,4000,0
6755000,6000,0
6720000,5020,1
6685000,6600,1
6650000,4040,0
6650000,4260,0
6650000,6420,0
6650000,6500,1
6650000,5700,0
6650000,6000,0
6629000,6000,0
6615000,4000,0
6615000,10500,0
6580000,6000,0
6510000,3760,1
6510000,8250,0
6510000,6670,0
6475000,3960,0
6475000,7410,0
6440000,8580,1
6440000,5000,1
6419000,6750,0
6405000,4800,0
6300000,7200,0
6300000,6000,0
6300000,4100,0
6300000,9000,0
6300000,6400,0
6293000,6600,0
6265000,6000,0
6230000,6600,1
6230000,5500,1
6195000,5500,0
6195000,6350,0
6195000,5500,0
6160000,4500,1
6160000,5450,0
6125000,6420,0
6107500,3240,1
6090000,6615,0
6090000,6600,0
6090000,8372,1
6083000,4300,0
6083000,9620,0
6020000,6800,0
6020000,8000,1
6020000,6900,0
5950000,3700,0
5950000,6420,0
5950000,7020,1
5950000,6540,1
5950000,7231,1
5950000,6254,0
5950000,7320,0
5950000,6525,0
5943000,15600,1
5880000,7160,1
5880000,6500,0
5873000,5500,0
5873000,11460,0
5866000,4800,0
5810000,5828,0
5810000,5200,0
5810000,4800,0
5803000,7000,1
5775000,6000,0
5740000,5400,0
5740000,4640,0
5740000,5000,0
5740000,6360,0
5740000,5800,0
5652500,6660,0
5600000,10500,1
5600000,4800,1
5600000,4700,0
5600000,5000,0
5600000,10500,0
5600000,5500,0
5600000,6360,1
5600000,6600,1
5600000,5136,1
5565000,4400,0
5565000,5400,0
5530000,3300,0
5530000,3650,0
5530000,6100,1
5523000,6900,1
5495000,2817,0
5495000,7980,0
5460000,3150,1
5460000,6210,1
5460000,6100,0
5460000,6600,0
5425000,6825,1
5390000,6710,0
5383000,6450,0
5320000,7800,0
5285000,4600,0
5250000,4260,1
5250000,6540,1
5250000,5500,1
5250000,10269,0
5250000,8400,0
5250000,5300,1
5250000,3800,1
5250000,9800,0
5250000,8520,0
5243000,6050,0
5229000,7085,0
5215000,3180,1
5215000,4500,1
5215000,7200,0
5145000,3410,0
5145000,7980,0
5110000,3000,0
5110000,3000,1
5110000,11410,1
5110000,6100,0
5075000,5720,0
5040000,3540,1
5040000,7600,0
5040000,10700,0
5040000,6600,0
5033000,4800,0
5005000,8150,0
4970000,4410,1
4970000,7686,1
4956000,2800,0
4935000,5948,0
4907000,4200,1
4900000,4520,0
4900000,4095,1
4900000,4120,0
4900000,5400,1
4900000,4770,1
4900000,6300,1
4900000,5800,0
4900000,3000,0
4900000,2970,0
4900000,6720,0
4900000,4646,1
4900000,12900,1
4893000,3420,0
4893000,4995,0
4865000,4350,0
4830000,4160,0
4830000,6040,1
4830000,6862,1
4830000,4815,1
4795000,7000,1
4795000,8100,1
4767000,3420,0
4760000,9166,0
4760000,6321,0
4760000,10240,0
4753000,6440,0
4690000,5170,1
4690000,6000,1
4690000,3630,1
4690000,9667,0
4690000,5400,0
4690000,4320,0
4655000,3745,1
4620000,4160,0
4620000,3880,1
4620000,5680,0
4620000,2870,1
4620000,5010,0
